Date,Time,AGP,AIRLINK,ATRL,CHCC,COLG,DCR,DGKC,EFERT,ENGROH,FATIMA,FCCL,FFC,HCAR,HUBC,ILP,INDU,KAPCO,LCI,LUCK,MARI,MLCF,NESTLE,NETSOL,NRL,OGDC,POL,PPL,PRL,PSO,SAZEW,SEARL,SNGP,SSGC,SYS,KSE100,KMI30
2026-08-10,09:00,191.43,137.54,987.87,332.99,1234.55,38.6,218.03,190.61,279.61,163.68,57.36,583.48,241.47,225.64,103.97,1928.78,29.09,228.9,458.75,681.53,102.07,7599.87,126.98,448.37,319.19,688.63,221.55,63.75,350.67,1927.7,91.26,103.79,27.28,136.52,181430.02,255651.73
2026-08-10,10:00,193.16,138.0,1013.0,337.5,1235.0,38.48,218.5,190.06,279.5,163.75,58.3,566.0,241.49,226.0,105.29,1938.01,28.81,228.39,458.51,678.99,102.94,7649.0,126.0,462.0,320.55,696.6,222.39,67.09,351.25,1929.01,91.8,104.38,27.26,136.8,181806.45,256189.95
2026-08-10,11:00,192.5,137.5,1006.5,338.3,1236.03,38.7,220.29,190.25,282.37,164.48,58.64,566.0,242.1,227.6,105.0,1935.01,29.0,228.6,460.4,678.35,104.04,7605.0,126.0,459.0,321.95,695.0,224.5,66.62,351.55,1931.99,91.5,103.5,27.19,136.3,182079.51,257016.88
2026-08-10,12:00,192.3,137.54,1001.0,337.65,1238.0,38.7,219.25,190.5,282.0,163.61,58.0,565.5,241.11,221.11,104.3,1933.01,29.0,227.0,459.86,677.85,104.02,7600.22,125.9,458.12,321.1,696.47,223.37,66.55,352.4,1932.98,91.65,103.75,27.16,136.19,181501.26,256038.19
2026-08-10,13:00,192.0,137.5,1005.02,337.47,1240.0,38.65,219.0,189.79,281.26,163.89,57.95,564.7,241.45,216.34,104.45,1931.69,28.95,228.0,457.0,676.1,103.65,7600.0,125.56,461.85,321.0,695.5,224.81,66.52,351.44,1927.0,91.4,103.99,27.14,135.49,181122.39,255124.25
2026-08-10,14:00,192.0,137.7,1008.0,335.0,1239.99,38.52,217.35,189.3,282.15,164.05,58.0,565.2,242.0,214.98,104.0,1930.0,28.9,227.03,455.0,674.42,102.9,7600.22,125.5,464.0,322.16,695.0,226.6,67.85,352.1,1925.0,91.4,103.5,27.16,135.4,181180.65,255317.34
2026-08-10,15:00,192.4,137.5,1051.0,336.88,1238.99,38.71,218.0,189.45,283.5,164.61,57.99,564.15,241.2,214.7,104.38,1930.0,28.82,228.0,455.55,674.0,103.39,7555.0,125.27,491.0,322.6,693.11,228.5,69.98,352.25,1926.0,91.47,103.49,27.08,135.97,181454.48,255923.84
2026-08-10,16:00,192.05,137.71,1059.47,336.17,1234.95,38.73,217.01,189.17,281.73,164.5,57.97,563.51,241.02,213.42,104.14,1929.84,28.83,227.26,454.36,673.33,102.98,7552.79,125.16,492.95,323.78,695.02,229.47,70.11,353.43,1925.12,91.39,103.66,27.11,135.7,181310.28,255725.18
2026-08-10,17:29,192.05,137.71,1059.47,336.17,1234.95,38.73,217.01,189.17,281.73,164.5,57.97,563.51,241.02,213.42,104.14,1929.84,28.83,227.26,454.36,673.33,102.98,7552.79,125.16,492.95,323.78,695.02,229.47,70.11,353.43,1925.12,91.39,103.66,27.11,135.7,181310.28,255725.18
2026-08-11,09:00,192.05,137.71,1059.47,336.17,1234.95,38.73,217.01,189.17,281.73,164.5,57.97,563.51,241.02,213.42,104.14,1929.84,28.83,227.26,454.36,673.33,102.98,7552.79,125.16,492.95,323.78,695.02,229.47,70.11,353.43,1925.12,91.39,103.66,27.11,135.7,181310.28,255725.18
2026-08-11,10:00,191.83,136.75,1062.99,332.79,1237.85,38.5,215.05,188.27,280.4,164.04,57.81,558.85,241.51,214.09,103.89,1930.0,28.75,227.89,452.5,670.01,101.75,7580.05,124.05,497.0,324.4,698.95,231.6,72.5,353.7,1928.0,91.6,104.68,27.16,134.32,180955.65,255441.46
2026-08-11,11:00,190.39,136.65,1052.0,331.95,1231.0,38.51,214.94,189.4,279.8,164.0,57.88,556.9,243.35,210.5,103.42,1934.0,28.98,227.2,451.54,668.2,101.5,7580.0,123.89,496.88,323.77,702.0,231.6,71.65,354.4,1925.0,91.68,104.03,27.2,134.3,180694.91,254889.08
2026-08-11,12:00,190.4,136.3,1050.0,331.89,1230.0,38.7,214.35,189.29,280.5,164.29,57.8,555.5,242.06,212.35,102.98,1930.0,28.8,227.0,450.44,669.05,101.0,7580.0,123.5,494.6,322.08,701.0,231.2,71.8,353.25,1887.0,91.14,103.56,27.16,134.5,180549.05,254815.35
2026-08-11,13:00,189.5,136.14,1038.99,329.99,1230.0,38.69,213.72,189.0,279.39,164.05,57.72,556.25,241.0,210.5,102.01,1930.0,28.5,227.0,447.55,669.0,100.83,7570.0,123.49,482.0,321.47,702.49,230.6,71.9,351.4,1881.0,90.88,103.35,26.99,134.3,180164.03,253921.44
2026-08-11,14:00,189.16,136.13,1034.48,329.0,1226.01,38.68,213.1,189.3,278.5,164.05,57.65,555.61,240.5,210.6,102.35,1924.99,28.5,226.01,448.49,668.0,100.4,7500.0,123.48,480.97,320.9,701.7,229.5,70.66,350.01,1880.0,90.56,102.85,26.9,133.96,179996.62,253562.63
2026-08-11,15:00,189.45,136.46,1029.99,329.99,1227.77,38.71,213.2,188.89,277.75,164.2,57.75,555.15,239.99,211.5,103.22,1925.0,28.35,225.52,445.8,667.61,100.57,7569.9,123.25,480.5,321.0,700.5,229.0,70.89,349.01,1878.0,90.6,102.5,26.89,134.16,180090.41,253459.12
2026-08-11,16:00,189.19,136.21,1029.29,329.06,1234.19,38.66,213.02,187.85,276.61,164.27,57.66,554.31,239.92,211.43,102.62,1924.93,28.31,223.07,445.11,667.73,100.65,7522.64,123.14,481.84,320.29,700.88,228.84,71.02,348.43,1882.27,90.39,102.22,26.68,133.93,179846.68,253007.71
2026-08-11,17:06,189.19,136.21,1029.29,329.06,1234.19,38.66,213.02,187.85,276.61,164.27,57.66,554.31,239.92,211.43,102.62,1924.93,28.31,223.07,445.11,667.73,100.65,7522.64,123.14,481.84,320.29,700.88,228.84,71.02,348.43,1882.27,90.39,102.22,26.68,133.93,179846.68,253007.71
2026-08-12,09:00,189.19,136.21,1029.29,329.06,1234.19,38.66,213.02,187.85,276.61,164.27,57.66,554.31,239.92,211.43,102.62,1924.93,28.31,223.07,445.11,667.73,100.65,7522.64,123.14,481.84,320.29,700.88,228.84,71.02,348.43,1882.27,90.39,102.22,26.68,133.93,179846.68,253007.71
2026-08-12,10:00,189.97,136.44,1032.01,325.99,1239.99,38.59,212.8,187.5,277.35,165.0,57.4,554.0,241.34,213.7,102.84,1943.0,28.42,225.02,447.79,672.0,100.09,7550.0,123.0,479.7,319.0,702.0,228.8,71.67,349.96,1862.0,90.6,102.49,26.68,133.96,180199.38,253440.4
2026-08-12,11:00,190.49,136.49,1035.0,328.51,1232.0,38.81,213.5,187.45,278.0,165.38,57.67,554.75,242.2,215.4,103.1,1939.0,28.4,226.0,449.0,671.7,101.3,7554.0,123.5,484.49,320.9,709.0,229.69,71.42,350.5,1853.5,90.8,102.19,26.48,133.99,180743.99,253940.17
2026-08-12,12:00,189.4,136.99,1038.8,329.0,1232.0,39.01,214.0,187.38,277.61,165.01,57.72,554.98,241.8,215.33,103.5,1934.0,28.2,225.88,448.9,671.1,101.6,7569.01,123.0,484.0,321.1,709.01,231.2,71.85,351.1,1883.24,91.0,102.1,26.5,133.98,180840.2,254134.98
2026-08-12,13:00,188.9,137.17,1036.0,328.0,1238.0,39.0,213.0,186.95,277.32,164.5,57.6,554.6,241.6,214.5,103.01,1934.01,28.16,225.94,447.0,672.0,101.35,7565.0,123.49,482.0,320.12,715.0,230.55,71.38,350.45,1876.1,90.99,101.8,26.58,133.96,180592.43,253695.92
2026-08-12,14:00,188.48,136.4,1030.0,327.0,1236.0,39.04,211.18,186.7,276.5,165.0,57.15,554.44,240.9,214.0,102.9,1934.99,28.25,225.79,446.0,678.97,100.88,7587.97,123.15,481.0,319.49,715.0,229.41,70.78,349.5,1870.98,90.5,101.92,26.43,133.98,180229.43,253023.26
2026-08-12,15:00,188.94,136.4,1030.0,330.0,1235.0,39.0,213.49,186.5,277.2,165.0,57.8,554.0,240.98,213.99,102.99,1935.0,28.29,225.88,446.0,676.0,102.4,7569.97,123.0,480.0,319.0,720.3,229.5,71.09,350.4,1875.0,90.47,104.0,27.47,133.83,180401.79,253323.43
